"access_restricted","site__001","site__002","original_format__-","contributor__001","contributor__002","contributor__003","id","partof__001","partof__002","partof__003","partof__004","subject__001","subject__002","subject__003","subject__004","subject__005","subject__006","subject__007","subject__008","index","group__001","group__002","group__003","title","segments__url","segments__count","segments__link","online_format__-","location__001","location__002","mime_type__001","mime_type__002","mime_type__003","mime_type__004","digitized","description__-","timestamp","extract_timestamp","date","shelf_id","dates__-","language__-","url","hassegments","image_url__001","image_url__002","image_url__003","image_url__004","aka__001","aka__002","aka__003","aka__004","aka__005","aka__006","aka__007","aka__008","aka__009","aka__010","aka__011","aka__012"
"False","performingarts","","notated music","bullock, w. j.","","","http://www.loc.gov/item/ihas.200033323/","the library of congress celebrates the songs of america","performing arts encyclopedia","baseball sheet music","","baseball","songs and music","popular songs of the day","work and industry","progressive era to new era","sports and leisure","","","120","ihas/mets","performingarts","","Base ball song","https://www.loc.gov/resource/ihas.200033323.0/","4","https://www.loc.gov/collections/baseball-sheet-music/?at=results&c=119&fa=segmentof:ihas.200033323.0/&fo=json&sb=shelf-id&st=gallery","image","","","image/tiff","image/jpg","application/json+dzi","image/jpeg","True","Sheet music |   4 p., 10 1/2 x 14 in. |   Sheet Music (Form).   Sheet Music (Form).","2017-10-13T18:53:45.744Z","2017-03-15T17:02:51.170Z","","http://www.loc.gov/item/ihas.200033323","","","https://www.loc.gov/item/ihas.200033323/","True","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033323/0001.tif/205","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033323/0001.tif/205#h=267&w=205","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033323/0001.tif/1645#h=2136&w=1645","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033323/0001.tif/3290#h=4273&w=3290","http://lcweb2.loc.gov/diglib/ihas/loc.natlib.ihas.200033323/","http://lcweb2.loc.gov/diglib/ihas/loc.natlib.ihas.200033323/default.html","http://hdl.loc.gov/loc.natlib/ihas.200033323","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(ihas+200033323))","http://www.loc.gov/item/ihas.200033323/","http://www.loc.gov/resource/ihas.200033323.0/","http://www.loc.gov/item/ihas.200033323","http://www.loc.gov/resource/ihas.200033323","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(ihas+200033323))","","",""
"False","performingarts","","notated music","brooks, hattie a.","","","http://www.loc.gov/item/ihas.200033324/","the library of congress celebrates the songs of america","performing arts encyclopedia","baseball sheet music","","baseball","songs and music","popular songs of the day","work and industry","progressive era to new era","sports and leisure","","","121","ihas/mets","performingarts","","Base ball waltz","https://www.loc.gov/resource/ihas.200033324.0/","3","https://www.loc.gov/collections/baseball-sheet-music/?at=results&c=119&fa=segmentof:ihas.200033324.0/&fo=json&sb=shelf-id&st=gallery","image","","","image/tiff","image/jpg","application/json+dzi","image/jpeg","True","Sheet music |   3 p., 10 1/2 x 14 in. |   Sheet Music (Form).   Sheet Music (Form).","2017-10-13T18:53:45.744Z","2017-03-15T17:02:51.170Z","","http://www.loc.gov/item/ihas.200033324","","","https://www.loc.gov/item/ihas.200033324/","True","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033324/0001.tif/201","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033324/0001.tif/201#h=272&w=201","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033324/0001.tif/1615#h=2180&w=1615","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033324/0001.tif/3231#h=4360&w=3231","http://lcweb2.loc.gov/diglib/ihas/loc.natlib.ihas.200033324/","http://lcweb2.loc.gov/diglib/ihas/loc.natlib.ihas.200033324/default.html","http://hdl.loc.gov/loc.natlib/ihas.200033324","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(ihas+200033324))","http://www.loc.gov/item/ihas.200033324/","http://www.loc.gov/resource/ihas.200033324.0/","http://www.loc.gov/item/ihas.200033324","http://www.loc.gov/resource/ihas.200033324","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(ihas+200033324))","","",""
"False","performingarts","","notated music","nichols, nellie","","","http://www.loc.gov/item/ihas.200033327/","the library of congress celebrates the songs of america","performing arts encyclopedia","baseball sheet music","","baseball","songs and music","popular songs of the day","work and industry","progressive era to new era","sports and leisure","","","122","ihas/mets","performingarts","","The  baseball bug","https://www.loc.gov/resource/ihas.200033327.0/","6","https://www.loc.gov/collections/baseball-sheet-music/?at=results&c=119&fa=segmentof:ihas.200033327.0/&fo=json&sb=shelf-id&st=gallery","image","","","image/tiff","image/jpg","application/json+dzi","image/jpeg","True","Sheet music |   6 p., 10 1/2 x 14 in. |   Sheet Music (Form).   Sheet Music (Form).","2017-10-13T18:53:45.744Z","2017-03-15T17:02:51.170Z","","http://www.loc.gov/item/ihas.200033327","","","https://www.loc.gov/item/ihas.200033327/","True","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033327/0001.tif/206","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033327/0001.tif/206#h=261&w=206","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033327/0001.tif/1653#h=2094&w=1653","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033327/0001.tif/3306#h=4188&w=3306","http://lcweb2.loc.gov/diglib/ihas/loc.natlib.ihas.200033327/","http://lcweb2.loc.gov/diglib/ihas/loc.natlib.ihas.200033327/default.html","http://hdl.loc.gov/loc.natlib/ihas.200033327","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(ihas+200033327))","http://www.loc.gov/item/ihas.200033327/","http://www.loc.gov/resource/ihas.200033327.0/","http://www.loc.gov/item/ihas.200033327","http://www.loc.gov/resource/ihas.200033327","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(ihas+200033327))","","",""
"False","performingarts","","notated music","","","","http://www.loc.gov/item/ihas.200033328/","the library of congress celebrates the songs of america","performing arts encyclopedia","baseball sheet music","","baseball","songs and music","popular songs of the day","work and industry","progressive era to new era","sports and leisure","","","123","ihas/mets","performingarts","","The  base-ball fiend","https://www.loc.gov/resource/ihas.200033328.0/","3","https://www.loc.gov/collections/baseball-sheet-music/?at=results&c=119&fa=segmentof:ihas.200033328.0/&fo=json&sb=shelf-id&st=gallery","image","","","image/tiff","image/jpg","application/json+dzi","image/jpeg","True","Sheet music |   3 p., 9 x 12 in. |   Sheet Music (Form).   Sheet Music (Form).","2017-10-13T18:53:45.744Z","2017-03-15T17:02:51.170Z","","http://www.loc.gov/item/ihas.200033328","","","https://www.loc.gov/item/ihas.200033328/","True","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033328/0001.tif/167","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033328/0001.tif/167#h=225&w=167","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033328/0001.tif/1341#h=1805&w=1341","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033328/0001.tif/2683#h=3611&w=2683","http://lcweb2.loc.gov/diglib/ihas/loc.natlib.ihas.200033328/","http://lcweb2.loc.gov/diglib/ihas/loc.natlib.ihas.200033328/default.html","http://hdl.loc.gov/loc.natlib/ihas.200033328","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(ihas+200033328))","http://www.loc.gov/item/ihas.200033328/","http://www.loc.gov/resource/ihas.200033328.0/","http://www.loc.gov/item/ihas.200033328","http://www.loc.gov/resource/ihas.200033328","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(ihas+200033328))","","",""
"False","performingarts","","notated music","hamilton, john edward","","","http://www.loc.gov/item/ihas.200033331/","the library of congress celebrates the songs of america","performing arts encyclopedia","baseball sheet music","","baseball","songs and music","popular songs of the day","work and industry","progressive era to new era","sports and leisure","","","124","ihas/mets","performingarts","","Baseball","https://www.loc.gov/resource/ihas.200033331.0/","4","https://www.loc.gov/collections/baseball-sheet-music/?at=results&c=119&fa=segmentof:ihas.200033331.0/&fo=json&sb=shelf-id&st=gallery","image","","","image/tiff","image/jpg","application/json+dzi","image/jpeg","True","Sheet music |   4 p., 10 1/2 x 14 in. |   Sheet Music (Form).   Sheet Music (Form).","2017-10-13T18:53:46.373Z","2017-03-15T17:02:51.170Z","","http://www.loc.gov/item/ihas.200033331","","","https://www.loc.gov/item/ihas.200033331/","True","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033331/0001.tif/206","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033331/0001.tif/206#h=263&w=206","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033331/0001.tif/1655#h=2105&w=1655","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033331/0001.tif/3311#h=4210&w=3311","http://lcweb2.loc.gov/diglib/ihas/loc.natlib.ihas.200033331/","http://lcweb2.loc.gov/diglib/ihas/loc.natlib.ihas.200033331/default.html","http://hdl.loc.gov/loc.natlib/ihas.200033331","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(ihas+200033331))","http://www.loc.gov/item/ihas.200033331/","http://www.loc.gov/resource/ihas.200033331.0/","http://www.loc.gov/item/ihas.200033331","http://www.loc.gov/resource/ihas.200033331","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(ihas+200033331))","","",""
"False","performingarts","","notated music","hitchfield, john gordon","","","http://www.loc.gov/item/ihas.200033333/","the library of congress celebrates the songs of america","performing arts encyclopedia","baseball sheet music","","baseball","songs and music","popular songs of the day","work and industry","progressive era to new era","sports and leisure","","","125","ihas/mets","performingarts","","Baseball","https://www.loc.gov/resource/ihas.200033333.0/","4","https://www.loc.gov/collections/baseball-sheet-music/?at=results&c=119&fa=segmentof:ihas.200033333.0/&fo=json&sb=shelf-id&st=gallery","image","","","image/tiff","image/jpg","application/json+dzi","image/jpeg","True","Sheet music |   4 p., 10 1/2 x 14 in. |   Sheet Music (Form).   Sheet Music (Form).","2017-10-13T18:53:46.373Z","2017-03-15T17:02:51.170Z","","http://www.loc.gov/item/ihas.200033333","","","https://www.loc.gov/item/ihas.200033333/","True","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033333/0001.tif/198","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033333/0001.tif/198#h=263&w=198","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033333/0001.tif/1585#h=2107&w=1585","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033333/0001.tif/3171#h=4215&w=3171","http://lcweb2.loc.gov/diglib/ihas/loc.natlib.ihas.200033333/","http://lcweb2.loc.gov/diglib/ihas/loc.natlib.ihas.200033333/default.html","http://hdl.loc.gov/loc.natlib/ihas.200033333","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(ihas+200033333))","http://www.loc.gov/item/ihas.200033333/","http://www.loc.gov/resource/ihas.200033333.0/","http://www.loc.gov/item/ihas.200033333","http://www.loc.gov/resource/ihas.200033333","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(ihas+200033333))","","",""
"False","performingarts","","notated music","waltz, ellen","jerreld, charles j. w.","","http://www.loc.gov/item/ihas.200033336/","the library of congress celebrates the songs of america","performing arts encyclopedia","baseball sheet music","","baseball","songs and music","popular songs of the day","work and industry","progressive era to new era","sports and leisure","","","126","ihas/mets","performingarts","","The  baseball boy","https://www.loc.gov/resource/ihas.200033336.0/","5","https://www.loc.gov/collections/baseball-sheet-music/?at=results&c=119&fa=segmentof:ihas.200033336.0/&fo=json&sb=shelf-id&st=gallery","image","","","image/tiff","image/jpg","application/json+dzi","image/jpeg","True","Sheet music |   5 p., 10 1/2 x 14 in. |   Sheet Music (Form).   Sheet Music (Form).","2017-10-13T18:53:46.738Z","2017-03-15T17:02:51.170Z","","http://www.loc.gov/item/ihas.200033336","","","https://www.loc.gov/item/ihas.200033336/","True","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033336/0001.tif/208","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033336/0001.tif/208#h=263&w=208","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033336/0001.tif/1665#h=2109&w=1665","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033336/0001.tif/3331#h=4219&w=3331","http://lcweb2.loc.gov/diglib/ihas/loc.natlib.ihas.200033336/","http://lcweb2.loc.gov/diglib/ihas/loc.natlib.ihas.200033336/default.html","http://hdl.loc.gov/loc.natlib/ihas.200033336","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(ihas+200033336))","http://www.loc.gov/item/ihas.200033336/","http://www.loc.gov/resource/ihas.200033336.0/","http://www.loc.gov/item/ihas.200033336","http://www.loc.gov/resource/ihas.200033336","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(ihas+200033336))","","",""
"False","performingarts","","notated music","heinbockel, r. d.","paulson, w. d.","","http://www.loc.gov/item/ihas.200033339/","the library of congress celebrates the songs of america","performing arts encyclopedia","baseball sheet music","","baseball","songs and music","popular songs of the day","work and industry","progressive era to new era","sports and leisure","","","127","ihas/mets","performingarts","","Base ball brains","https://www.loc.gov/resource/ihas.200033339.0/","6","https://www.loc.gov/collections/baseball-sheet-music/?at=results&c=119&fa=segmentof:ihas.200033339.0/&fo=json&sb=shelf-id&st=gallery","image","","","image/tiff","image/jpg","application/json+dzi","image/jpeg","True","Sheet music |   5 p., 10 1/2 x 14 in. |   Sheet Music (Form).   Sheet Music (Form).","2017-10-13T18:53:46.738Z","2017-03-15T17:02:51.170Z","","http://www.loc.gov/item/ihas.200033339","","","https://www.loc.gov/item/ihas.200033339/","True","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033339/0001.tif/211","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033339/0001.tif/211#h=269&w=211","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033339/0001.tif/1694#h=2159&w=1694","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033339/0001.tif/3388#h=4319&w=3388","http://lcweb2.loc.gov/diglib/ihas/loc.natlib.ihas.200033339/","http://lcweb2.loc.gov/diglib/ihas/loc.natlib.ihas.200033339/default.html","http://hdl.loc.gov/loc.natlib/ihas.200033339","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(ihas+200033339))","http://www.loc.gov/item/ihas.200033339/","http://www.loc.gov/resource/ihas.200033339.0/","http://www.loc.gov/item/ihas.200033339","http://www.loc.gov/resource/ihas.200033339","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(ihas+200033339))","","",""
"False","performingarts","","notated music","lowry, robert","","","http://www.loc.gov/item/ihas.200033342/","the library of congress celebrates the songs of america","performing arts encyclopedia","baseball sheet music","","baseball","songs and music","popular songs of the day","work and industry","progressive era to new era","sports and leisure","","","128","ihas/mets","performingarts","","Base ball days","","","","image","","","image/tiff","image/jpg","application/json+dzi","image/jpeg","True","Sheet music |   1 p., 6 x 9 in. |   Sheet Music (Form).   Sheet Music (Form).","2017-10-13T18:53:47.204Z","2017-03-15T17:02:51.170Z","","http://www.loc.gov/item/ihas.200033342","","","https://www.loc.gov/item/ihas.200033342/","False","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033342/0001.tif/241","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033342/0001.tif/241#h=337&w=241","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033342/0001.tif/964#h=1351&w=964","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033342/0001.tif/1928#h=2702&w=1928","http://lcweb2.loc.gov/diglib/ihas/loc.natlib.ihas.200033342/","http://lcweb2.loc.gov/diglib/ihas/loc.natlib.ihas.200033342/default.html","http://hdl.loc.gov/loc.natlib/ihas.200033342","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(ihas+200033342))","http://www.loc.gov/item/ihas.200033342/","http://www.loc.gov/resource/ihas.200033342.0/","http://www.loc.gov/item/ihas.200033342","http://www.loc.gov/resource/ihas.200033342","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(ihas+200033342))","","",""
"False","performingarts","","notated music","allen, clarence","scott, genevieve","","http://www.loc.gov/item/ihas.200033343/","the library of congress celebrates the songs of america","performing arts encyclopedia","baseball sheet music","","baseball","songs and music","popular songs of the day","work and industry","progressive era to new era","sports and leisure","","","129","ihas/mets","performingarts","","The  baseball fan","https://www.loc.gov/resource/ihas.200033343.0/","5","https://www.loc.gov/collections/baseball-sheet-music/?at=results&c=119&fa=segmentof:ihas.200033343.0/&fo=json&sb=shelf-id&st=gallery","image","","","image/tiff","image/jpg","application/json+dzi","image/jpeg","True","Sheet music |   5 p., 10 1/2 x 14 in. |   Sheet Music (Form).   Sheet Music (Form).","2017-10-13T18:53:47.204Z","2017-03-15T17:02:51.170Z","","http://www.loc.gov/item/ihas.200033343","","","https://www.loc.gov/item/ihas.200033343/","True","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033343/0001.tif/207","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033343/0001.tif/207#h=262&w=207","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033343/0001.tif/1656#h=2102&w=1656","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033343/0001.tif/3313#h=4205&w=3313","http://lcweb2.loc.gov/diglib/ihas/loc.natlib.ihas.200033343/","http://lcweb2.loc.gov/diglib/ihas/loc.natlib.ihas.200033343/default.html","http://hdl.loc.gov/loc.natlib/ihas.200033343","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(ihas+200033343))","http://www.loc.gov/item/ihas.200033343/","http://www.loc.gov/resource/ihas.200033343.0/","http://www.loc.gov/item/ihas.200033343","http://www.loc.gov/resource/ihas.200033343","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(ihas+200033343))","","",""
"False","performingarts","","notated music","loughry, william j.","crosby, a. melvin","","http://www.loc.gov/item/ihas.200033344/","the library of congress celebrates the songs of america","performing arts encyclopedia","baseball sheet music","","baseball","songs and music","popular songs of the day","work and industry","progressive era to new era","sports and leisure","","","130","ihas/mets","performingarts","","The  baseball game","https://www.loc.gov/resource/ihas.200033344.0/","6","https://www.loc.gov/collections/baseball-sheet-music/?at=results&c=119&fa=segmentof:ihas.200033344.0/&fo=json&sb=shelf-id&st=gallery","image","","","image/tiff","image/jpg","application/json+dzi","image/jpeg","True","Sheet music |   6 p., 10 1/2 x 14 in. |   Sheet Music (Form).   Sheet Music (Form).","2017-10-13T18:53:47.204Z","2017-03-15T17:02:51.170Z","","http://www.loc.gov/item/ihas.200033344","","","https://www.loc.gov/item/ihas.200033344/","True","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033344/0001.tif/201","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033344/0001.tif/201#h=254&w=201","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033344/0001.tif/1609#h=2034&w=1609","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033344/0001.tif/3219#h=4068&w=3219","http://lcweb2.loc.gov/diglib/ihas/loc.natlib.ihas.200033344/","http://lcweb2.loc.gov/diglib/ihas/loc.natlib.ihas.200033344/default.html","http://hdl.loc.gov/loc.natlib/ihas.200033344","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(ihas+200033344))","http://www.loc.gov/item/ihas.200033344/","http://www.loc.gov/resource/ihas.200033344.0/","http://www.loc.gov/item/ihas.200033344","http://www.loc.gov/resource/ihas.200033344","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(ihas+200033344))","","",""
"False","performingarts","","notated music","sterling, andrew","von tilzer, harry","","http://www.loc.gov/item/ihas.200033346/","the library of congress celebrates the songs of america","performing arts encyclopedia","baseball sheet music","","baseball","songs and music","popular songs of the day","work and industry","progressive era to new era","sports and leisure","","","131","ihas/mets","performingarts","","The  baseball glide","https://www.loc.gov/resource/ihas.200033346.0/","5","https://www.loc.gov/collections/baseball-sheet-music/?at=results&c=119&fa=segmentof:ihas.200033346.0/&fo=json&sb=shelf-id&st=gallery","image","","","image/tiff","image/jpg","application/json+dzi","image/jpeg","True","Sheet music |   5 p. 10 1/2 x 14 in. |   Sheet Music (Form).   Sheet Music (Form).","2017-10-13T18:53:47.204Z","2017-03-15T17:02:51.170Z","","http://www.loc.gov/item/ihas.200033346","","","https://www.loc.gov/item/ihas.200033346/","True","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033346/0001.tif/207","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033346/0001.tif/207#h=271&w=207","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033346/0001.tif/1662#h=2172&w=1662","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033346/0001.tif/3325#h=4345&w=3325","http://lcweb2.loc.gov/diglib/ihas/loc.natlib.ihas.200033346/","http://lcweb2.loc.gov/diglib/ihas/loc.natlib.ihas.200033346/default.html","http://hdl.loc.gov/loc.natlib/ihas.200033346","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(ihas+200033346))","http://www.loc.gov/item/ihas.200033346/","http://www.loc.gov/resource/ihas.200033346.0/","http://www.loc.gov/item/ihas.200033346","http://www.loc.gov/resource/ihas.200033346","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(ihas+200033346))","","",""
"False","performingarts","","notated music","list, oralie","","","http://www.loc.gov/item/ihas.200033349/","the library of congress celebrates the songs of america","performing arts encyclopedia","baseball sheet music","","baseball","songs and music","popular songs of the day","work and industry","progressive era to new era","sports and leisure","","","132","ihas/mets","performingarts","","The  baseball man for me","https://www.loc.gov/resource/ihas.200033349.0/","6","https://www.loc.gov/collections/baseball-sheet-music/?at=results&c=119&fa=segmentof:ihas.200033349.0/&fo=json&sb=shelf-id&st=gallery","image","","","image/tiff","image/jpg","application/json+dzi","image/jpeg","True","Sheet music |   6 p., 10 x 13 in. |   Sheet Music (Form).   Sheet Music (Form).","2017-10-13T18:53:47.204Z","2017-03-15T17:02:51.719Z","","http://www.loc.gov/item/ihas.200033349","","","https://www.loc.gov/item/ihas.200033349/","True","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033349/0001.tif/204","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033349/0001.tif/204#h=259&w=204","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033349/0001.tif/1636#h=2076&w=1636","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033349/0001.tif/3272#h=4153&w=3272","http://lcweb2.loc.gov/diglib/ihas/loc.natlib.ihas.200033349/","http://lcweb2.loc.gov/diglib/ihas/loc.natlib.ihas.200033349/default.html","http://hdl.loc.gov/loc.natlib/ihas.200033349","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(ihas+200033349))","http://www.loc.gov/item/ihas.200033349/","http://www.loc.gov/resource/ihas.200033349.0/","http://www.loc.gov/item/ihas.200033349","http://www.loc.gov/resource/ihas.200033349","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(ihas+200033349))","","",""
"False","performingarts","","notated music","schmid, johann c","","","http://www.loc.gov/item/ihas.200033351/","the library of congress celebrates the songs of america","performing arts encyclopedia","baseball sheet music","","baseball","songs and music","popular songs of the day","work and industry","progressive era to new era","sports and leisure","","","133","ihas/mets","performingarts","","The  baseball march","https://www.loc.gov/resource/ihas.200033351.0/","6","https://www.loc.gov/collections/baseball-sheet-music/?at=results&c=119&fa=segmentof:ihas.200033351.0/&fo=json&sb=shelf-id&st=gallery","image","","","image/tiff","image/jpg","application/json+dzi","image/jpeg","True","Sheet music |   6 p., 10 1/2 x 14 in. |   Sheet Music (Form).   Sheet Music (Form).","2017-10-13T18:53:47.486Z","2017-03-15T17:02:51.719Z","","http://www.loc.gov/item/ihas.200033351","","","https://www.loc.gov/item/ihas.200033351/","True","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033351/0001.tif/206","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033351/0001.tif/206#h=262&w=206","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033351/0001.tif/1654#h=2098&w=1654","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033351/0001.tif/3309#h=4197&w=3309","http://lcweb2.loc.gov/diglib/ihas/loc.natlib.ihas.200033351/","http://lcweb2.loc.gov/diglib/ihas/loc.natlib.ihas.200033351/default.html","http://hdl.loc.gov/loc.natlib/ihas.200033351","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(ihas+200033351))","http://www.loc.gov/item/ihas.200033351/","http://www.loc.gov/resource/ihas.200033351.0/","http://www.loc.gov/item/ihas.200033351","http://www.loc.gov/resource/ihas.200033351","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(ihas+200033351))","","",""
"False","performingarts","","notated music","nealon, j. t.","hummer, e. e.","","http://www.loc.gov/item/ihas.200033352/","the library of congress celebrates the songs of america","performing arts encyclopedia","baseball sheet music","","baseball","songs and music","popular songs of the day","work and industry","progressive era to new era","sports and leisure","","","134","ihas/mets","performingarts","","Baseball on the brain","https://www.loc.gov/resource/ihas.200033352.0/","5","https://www.loc.gov/collections/baseball-sheet-music/?at=results&c=119&fa=segmentof:ihas.200033352.0/&fo=json&sb=shelf-id&st=gallery","image","","","image/tiff","image/jpg","application/json+dzi","image/jpeg","True","Sheet music |   5 p., 10 1/2 x 14 in. |   Sheet Music (Form).   Sheet Music (Form).","2017-10-13T18:53:47.899Z","2017-03-15T17:02:51.719Z","","http://www.loc.gov/item/ihas.200033352","","","https://www.loc.gov/item/ihas.200033352/","True","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033352/0001.tif/203","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033352/0001.tif/203#h=261&w=203","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033352/0001.tif/1630#h=2093&w=1630","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033352/0001.tif/3261#h=4186&w=3261","http://lcweb2.loc.gov/diglib/ihas/loc.natlib.ihas.200033352/","http://lcweb2.loc.gov/diglib/ihas/loc.natlib.ihas.200033352/default.html","http://hdl.loc.gov/loc.natlib/ihas.200033352","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(ihas+200033352))","http://www.loc.gov/item/ihas.200033352/","http://www.loc.gov/resource/ihas.200033352.0/","http://www.loc.gov/item/ihas.200033352","http://www.loc.gov/resource/ihas.200033352","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(ihas+200033352))","","",""
