"access_restricted","original_format__-","contributor__-","id","partof__001","partof__002","partof__003","partof__004","partof__005","partof__006","subject__001","subject__002","subject__003","subject__004","subject__005","subject__006","subject__007","subject__008","subject__009","subject__010","subject__011","subject__012","subject__013","index","group__001","group__002","group__003","group__004","title","online_format__-","location__001","location__002","number_former_id__-","mime_type__001","mime_type__002","mime_type__003","mime_type__004","digitized","description__-","timestamp","site__001","site__002","extract_timestamp","date","number__-","shelf_id","other_title__-","dates__-","language__-","url","hassegments","image_url__001","image_url__002","image_url__003","image_url__004","image_url__005","aka__001","aka__002","aka__003","aka__004","aka__005","aka__006","aka__007","aka__008","aka__009","aka__010","aka__011","aka__012","aka__013","aka__014","aka__015","aka__016","aka__017"
"False","photo, print, drawing","goodwin & co.","http://www.loc.gov/item/2007686461/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","geiss, emil (team member)","chicago white stockings","chicago","national league","pitcher","albumen prints","baseball cards","","","","","","","501","bbc","catalog","baseball-cards","","[Emil Geiss, Chicago White Stockings, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photographic print : albumen.","2016-05-17T21:39:04.294Z","pictures","catalog","2016-05-17T21:36:22.758Z","1887","","LOT 13163-05, no. 55 [P&P]","Old Judge (N172)","1887-01-01T00:00:00Z","english","https://www.loc.gov/item/2007686461/","False","//cdn.loc.gov/service/pnp/bbc/0100/0120/0127f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0100/0120/0127f_150px.jpg#h=150&w=84","//cdn.loc.gov/service/pnp/bbc/0100/0120/0127ft.gif#h=150&w=84","//cdn.loc.gov/service/pnp/bbc/0100/0120/0127fr.jpg#h=640&w=360","//cdn.loc.gov/service/pnp/bbc/0100/0120/0127fv.jpg#h=1024&w=576","http://www.loc.gov/pictures/collection/bbc/item/2007686461/","http://www.loc.gov/item/2007686461/","http://www.loc.gov/pictures/item/2007686461/","http://hdl.loc.gov/loc.pnp/bbc.0127f","http://www.loc.gov/resource/bbc.0127f/","http://lccn.loc.gov/2007686461","","","","","","","","","","",""
"False","photo, print, drawing","goodwin & co.","http://www.loc.gov/item/2007686462/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","geiss, emil (team member)","chicago white stockings","chicago","national league","pitcher","albumen prints","baseball cards","","","","","","","502","bbc","catalog","baseball-cards","","[Emil Geiss, Chicago White Stockings, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photographic print : albumen.","2016-05-17T21:39:04.294Z","pictures","catalog","2016-05-17T21:36:22.758Z","1887","","LOT 13163-05, no. 56 [P&P]","Old Judge (N172)","1887-01-01T00:00:00Z","english","https://www.loc.gov/item/2007686462/","False","//cdn.loc.gov/service/pnp/bbc/0100/0120/0128f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0100/0120/0128f_150px.jpg#h=150&w=86","//cdn.loc.gov/service/pnp/bbc/0100/0120/0128ft.gif#h=150&w=86","//cdn.loc.gov/service/pnp/bbc/0100/0120/0128fr.jpg#h=640&w=366","//cdn.loc.gov/service/pnp/bbc/0100/0120/0128fv.jpg#h=1024&w=586","http://www.loc.gov/pictures/collection/bbc/item/2007686462/","http://www.loc.gov/item/2007686462/","http://www.loc.gov/pictures/item/2007686462/","http://hdl.loc.gov/loc.pnp/bbc.0128f","http://www.loc.gov/resource/bbc.0128f/","http://lccn.loc.gov/2007686462","","","","","","","","","","",""
"False","photo, print, drawing","goodwin & co.","http://www.loc.gov/item/2007686463/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","geiss, emil (team member)","chicago white stockings","chicago","national league","pitcher","albumen prints","baseball cards","","","","","","","503","bbc","catalog","baseball-cards","","[Emil Geiss, Chicago White Stockings, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photographic print : albumen.","2016-05-17T21:39:04.294Z","pictures","catalog","2016-05-17T21:36:22.758Z","1887","","LOT 13163-05, no. 57 [P&P]","Old Judge (N172)","1887-01-01T00:00:00Z","english","https://www.loc.gov/item/2007686463/","False","//cdn.loc.gov/service/pnp/bbc/0100/0120/0129f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0100/0120/0129f_150px.jpg#h=150&w=88","//cdn.loc.gov/service/pnp/bbc/0100/0120/0129ft.gif#h=150&w=88","//cdn.loc.gov/service/pnp/bbc/0100/0120/0129fr.jpg#h=640&w=374","//cdn.loc.gov/service/pnp/bbc/0100/0120/0129fv.jpg#h=1024&w=598","http://www.loc.gov/pictures/collection/bbc/item/2007686463/","http://www.loc.gov/item/2007686463/","http://www.loc.gov/pictures/item/2007686463/","http://hdl.loc.gov/loc.pnp/bbc.0129f","http://www.loc.gov/resource/bbc.0129f/","http://lccn.loc.gov/2007686463","","","","","","","","","","",""
"False","photo, print, drawing","goodwin & co.","http://www.loc.gov/item/2007686464/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","hoover, charlie (team member)","chicago white stockings","chicago","national league","catcher","albumen prints","baseball cards","","","","","","","504","bbc","catalog","baseball-cards","","[C. Hoover, Chicago White Stockings, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photographic print : albumen.","2016-05-17T21:39:04.294Z","pictures","catalog","2016-05-17T21:36:22.758Z","1887","","LOT 13163-05, no. 58 [P&P]","Old Judge (N172)","1887-01-01T00:00:00Z","english","https://www.loc.gov/item/2007686464/","False","//cdn.loc.gov/service/pnp/bbc/0100/0130/0130f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0100/0130/0130f_150px.jpg#h=150&w=86","//cdn.loc.gov/service/pnp/bbc/0100/0130/0130ft.gif#h=150&w=86","//cdn.loc.gov/service/pnp/bbc/0100/0130/0130fr.jpg#h=640&w=366","//cdn.loc.gov/service/pnp/bbc/0100/0130/0130fv.jpg#h=1024&w=586","http://www.loc.gov/pictures/collection/bbc/item/2007686464/","http://www.loc.gov/item/2007686464/","http://www.loc.gov/pictures/item/2007686464/","http://hdl.loc.gov/loc.pnp/bbc.0130f","http://www.loc.gov/resource/bbc.0130f/","http://lccn.loc.gov/2007686464","","","","","","","","","","",""
"False","photo, print, drawing","goodwin & co.","http://www.loc.gov/item/2007686465/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","hoover, charlie (team member)","chicago white stockings","chicago","national league","catcher","albumen prints","baseball cards","","","","","","","505","bbc","catalog","baseball-cards","","[C. E. Hoover, Chicago White Stockings, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photographic print : albumen.","2016-05-17T21:39:04.294Z","pictures","catalog","2016-05-17T21:36:22.758Z","1887","","LOT 13163-05, no. 59 [P&P]","Old Judge (N172)","1887-01-01T00:00:00Z","english","https://www.loc.gov/item/2007686465/","False","//cdn.loc.gov/service/pnp/bbc/0100/0130/0131f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0100/0130/0131f_150px.jpg#h=150&w=87","//cdn.loc.gov/service/pnp/bbc/0100/0130/0131ft.gif#h=150&w=87","//cdn.loc.gov/service/pnp/bbc/0100/0130/0131fr.jpg#h=640&w=370","//cdn.loc.gov/service/pnp/bbc/0100/0130/0131fv.jpg#h=1024&w=592","http://www.loc.gov/pictures/collection/bbc/item/2007686465/","http://www.loc.gov/item/2007686465/","http://www.loc.gov/pictures/item/2007686465/","http://hdl.loc.gov/loc.pnp/bbc.0131f","http://www.loc.gov/resource/bbc.0131f/","http://lccn.loc.gov/2007686465","","","","","","","","","","",""
"False","photo, print, drawing","goodwin & co.","http://www.loc.gov/item/2007685746/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","irwin, arthur (team member)","boston beaneaters","boston","national league","shortstop","albumen prints","baseball cards","","","","","","","506","bbc","catalog","baseball-cards","","[Arthur Irwin, Boston Beaneaters, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photographic print : albumen.","2016-05-17T21:38:50.561Z","pictures","catalog","2016-05-17T21:36:22.123Z","1887","","LOT 13163-05, no. 6 [P&P]","Old Judge (N172)","1887-01-01T00:00:00Z","english","https://www.loc.gov/item/2007685746/","False","//cdn.loc.gov/service/pnp/bbc/0000/0070/0078f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0000/0070/0078f_150px.jpg#h=150&w=79","//cdn.loc.gov/service/pnp/bbc/0000/0070/0078ft.gif#h=150&w=79","//cdn.loc.gov/service/pnp/bbc/0000/0070/0078fr.jpg#h=640&w=338","//cdn.loc.gov/service/pnp/bbc/0000/0070/0078fv.jpg#h=1024&w=540","http://www.loc.gov/pictures/collection/bbc/item/2007685746/","http://www.loc.gov/item/2007685746/","http://www.loc.gov/pictures/item/2007685746/","http://hdl.loc.gov/loc.pnp/bbc.0078f","http://www.loc.gov/resource/bbc.0078f/","http://lccn.loc.gov/2007685746","","","","","","","","","","",""
"False","photo, print, drawing","goodwin & co.","http://www.loc.gov/item/2007686466/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","kelly, king (team member)","chicago white stockings","chicago","national league","outfielder","albumen prints","baseball cards","","","","","","","507","bbc","catalog","baseball-cards","","[King Kelly, Chicago White Stockings, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photographic print : albumen.","2016-05-17T21:39:04.294Z","pictures","catalog","2016-05-17T21:36:22.758Z","1887","","LOT 13163-05, no. 60 [P&P]","Old Judge (N172)","1887-01-01T00:00:00Z","english","https://www.loc.gov/item/2007686466/","False","//cdn.loc.gov/service/pnp/bbc/0100/0130/0132f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0100/0130/0132f_150px.jpg#h=150&w=87","//cdn.loc.gov/service/pnp/bbc/0100/0130/0132ft.gif#h=150&w=87","//cdn.loc.gov/service/pnp/bbc/0100/0130/0132fr.jpg#h=640&w=371","//cdn.loc.gov/service/pnp/bbc/0100/0130/0132fv.jpg#h=1024&w=594","http://www.loc.gov/pictures/collection/bbc/item/2007686466/","http://www.loc.gov/item/2007686466/","http://www.loc.gov/pictures/item/2007686466/","http://hdl.loc.gov/loc.pnp/bbc.0132f","http://www.loc.gov/resource/bbc.0132f/","http://lccn.loc.gov/2007686466","","","","","","","","","","",""
"False","photo, print, drawing","goodwin & co.","http://www.loc.gov/item/2007686467/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","kelly, king (team member)","chicago white stockings","chicago","national league","outfielder","albumen prints","baseball cards","","","","","","","508","bbc","catalog","baseball-cards","","[King Kelly, Chicago White Stockings, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photographic print : albumen.","2016-05-17T21:39:04.294Z","pictures","catalog","2016-05-17T21:36:22.758Z","1887","","LOT 13163-05, no. 61 [P&P]","Old Judge (N172)","1887-01-01T00:00:00Z","english","https://www.loc.gov/item/2007686467/","False","//cdn.loc.gov/service/pnp/bbc/0100/0130/0133f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0100/0130/0133f_150px.jpg#h=150&w=87","//cdn.loc.gov/service/pnp/bbc/0100/0130/0133ft.gif#h=150&w=87","//cdn.loc.gov/service/pnp/bbc/0100/0130/0133fr.jpg#h=640&w=372","//cdn.loc.gov/service/pnp/bbc/0100/0130/0133fv.jpg#h=1024&w=596","http://www.loc.gov/pictures/collection/bbc/item/2007686467/","http://hdl.loc.gov/loc.pnp/bbc.3g08995","http://www.loc.gov/item/2007686467/","http://www.loc.gov/pictures/item/2007686467/","http://hdl.loc.gov/loc.pnp/bbc.0133f","http://www.loc.gov/resource/bbc.0133f/","http://www.loc.gov/resource/cph.3g08995/","http://lccn.loc.gov/2007686467","http://www.loc.gov/resource/bbc.3g08995/","","","","","","","",""
"False","photo, print, drawing","goodwin & co.","http://www.loc.gov/item/2007686468/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","krock, gus (team member)","chicago white stockings","chicago","national league","pitcher","albumen prints","baseball cards","","","","","","","509","bbc","catalog","baseball-cards","","[Gus Krock, Chicago White Stockings, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photographic print : albumen.","2016-05-17T21:39:04.294Z","pictures","catalog","2016-05-17T21:36:22.758Z","1887","","LOT 13163-05, no. 62 [P&P]","Old Judge (N172)","1887-01-01T00:00:00Z","english","https://www.loc.gov/item/2007686468/","False","//cdn.loc.gov/service/pnp/bbc/0100/0130/0134f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0100/0130/0134f_150px.jpg#h=150&w=82","//cdn.loc.gov/service/pnp/bbc/0100/0130/0134ft.gif#h=150&w=82","//cdn.loc.gov/service/pnp/bbc/0100/0130/0134fr.jpg#h=640&w=349","//cdn.loc.gov/service/pnp/bbc/0100/0130/0134fv.jpg#h=1024&w=558","http://www.loc.gov/pictures/collection/bbc/item/2007686468/","http://www.loc.gov/item/2007686468/","http://www.loc.gov/pictures/item/2007686468/","http://hdl.loc.gov/loc.pnp/bbc.0134f","http://www.loc.gov/resource/bbc.0134f/","http://lccn.loc.gov/2007686468","","","","","","","","","","",""
"False","photo, print, drawing","goodwin & co.","http://www.loc.gov/item/2007686469/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","krock, gus (team member)","chicago white stockings","chicago","national league","pitcher","albumen prints","baseball cards","","","","","","","510","bbc","catalog","baseball-cards","","[Gus Krock, Chicago White Stockings, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photographic print : albumen.","2016-05-17T21:39:04.294Z","pictures","catalog","2016-05-17T21:36:22.758Z","1887","","LOT 13163-05, no. 63 [P&P]","Old Judge (N172)","1887-01-01T00:00:00Z","english","https://www.loc.gov/item/2007686469/","False","//cdn.loc.gov/service/pnp/bbc/0100/0130/0135f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0100/0130/0135f_150px.jpg#h=150&w=83","//cdn.loc.gov/service/pnp/bbc/0100/0130/0135ft.gif#h=150&w=83","//cdn.loc.gov/service/pnp/bbc/0100/0130/0135fr.jpg#h=640&w=355","//cdn.loc.gov/service/pnp/bbc/0100/0130/0135fv.jpg#h=1024&w=568","http://www.loc.gov/pictures/collection/bbc/item/2007686469/","http://www.loc.gov/item/2007686469/","http://www.loc.gov/pictures/item/2007686469/","http://hdl.loc.gov/loc.pnp/bbc.0135f","http://www.loc.gov/resource/bbc.0135f/","http://lccn.loc.gov/2007686469","","","","","","","","","","",""
"False","photo, print, drawing","goodwin & co.","http://www.loc.gov/item/2007686470/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","krock, gus (team member)","chicago white stockings","chicago","national league","pitcher","albumen prints","baseball cards","","","","","","","511","bbc","catalog","baseball-cards","","[Gus Krock, Chicago White Stockings, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photographic print : albumen.","2016-05-17T21:39:04.294Z","pictures","catalog","2016-05-17T21:36:22.758Z","1887","","LOT 13163-05, no. 64 [P&P]","Old Judge (N172)","1887-01-01T00:00:00Z","english","https://www.loc.gov/item/2007686470/","False","//cdn.loc.gov/service/pnp/bbc/0100/0130/0136f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0100/0130/0136f_150px.jpg#h=150&w=78","//cdn.loc.gov/service/pnp/bbc/0100/0130/0136ft.gif#h=150&w=78","//cdn.loc.gov/service/pnp/bbc/0100/0130/0136fr.jpg#h=640&w=333","//cdn.loc.gov/service/pnp/bbc/0100/0130/0136fv.jpg#h=1024&w=532","http://www.loc.gov/pictures/collection/bbc/item/2007686470/","http://www.loc.gov/item/2007686470/","http://www.loc.gov/pictures/item/2007686470/","http://hdl.loc.gov/loc.pnp/bbc.0136f","http://www.loc.gov/resource/bbc.0136f/","http://lccn.loc.gov/2007686470","","","","","","","","","","",""
"False","photo, print, drawing","goodwin & co.","http://www.loc.gov/item/2007686471/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","mccormick, jim (team member)","chicago white stockings","chicago","national league","pitcher","albumen prints","baseball cards","","","","","","","512","bbc","catalog","baseball-cards","","[Jim McCormick, Chicago White Stockings, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photographic print : albumen.","2016-05-17T21:39:04.294Z","pictures","catalog","2016-05-17T21:36:22.758Z","1887","","LOT 13163-05, no. 65 [P&P]","Old Judge (N172)","1887-01-01T00:00:00Z","english","https://www.loc.gov/item/2007686471/","False","//cdn.loc.gov/service/pnp/bbc/0100/0130/0137f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0100/0130/0137f_150px.jpg#h=150&w=83","//cdn.loc.gov/service/pnp/bbc/0100/0130/0137ft.gif#h=150&w=83","//cdn.loc.gov/service/pnp/bbc/0100/0130/0137fr.jpg#h=640&w=352","//cdn.loc.gov/service/pnp/bbc/0100/0130/0137fv.jpg#h=1024&w=563","http://www.loc.gov/pictures/collection/bbc/item/2007686471/","http://www.loc.gov/item/2007686471/","http://www.loc.gov/pictures/item/2007686471/","http://hdl.loc.gov/loc.pnp/bbc.0137f","http://www.loc.gov/resource/bbc.0137f/","http://lccn.loc.gov/2007686471","","","","","","","","","","",""
"False","photo, print, drawing","goodwin & co.","http://www.loc.gov/item/2007686472/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","mccormick, jim (team member)","chicago white stockings","chicago","national league","pitcher","albumen prints","baseball cards","","","","","","","513","bbc","catalog","baseball-cards","","[Jim McCormick, Chicago White Stockings, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photographic print : albumen.","2016-05-17T21:39:04.294Z","pictures","catalog","2016-05-17T21:36:22.758Z","1887","","LOT 13163-05, no. 66 [P&P]","Old Judge (N172)","1887-01-01T00:00:00Z","english","https://www.loc.gov/item/2007686472/","False","//cdn.loc.gov/service/pnp/bbc/0100/0130/0138f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0100/0130/0138f_150px.jpg#h=150&w=83","//cdn.loc.gov/service/pnp/bbc/0100/0130/0138ft.gif#h=150&w=83","//cdn.loc.gov/service/pnp/bbc/0100/0130/0138fr.jpg#h=640&w=355","//cdn.loc.gov/service/pnp/bbc/0100/0130/0138fv.jpg#h=1024&w=568","http://www.loc.gov/pictures/collection/bbc/item/2007686472/","http://www.loc.gov/item/2007686472/","http://www.loc.gov/pictures/item/2007686472/","http://hdl.loc.gov/loc.pnp/bbc.0138f","http://www.loc.gov/resource/bbc.0138f/","http://lccn.loc.gov/2007686472","","","","","","","","","","",""
"False","photo, print, drawing","goodwin & co.","http://www.loc.gov/item/2007686473/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","mccormick, jim (team member)","chicago white stockings","chicago","national league","pitcher","albumen prints","baseball cards","","","","","","","514","bbc","catalog","baseball-cards","","[Jim McCormick, Chicago White Stockings, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photographic print : albumen.","2016-05-17T21:39:04.294Z","pictures","catalog","2016-05-17T21:36:22.758Z","1887","","LOT 13163-05, no. 67 [P&P]","Old Judge (N172)","1887-01-01T00:00:00Z","english","https://www.loc.gov/item/2007686473/","False","//cdn.loc.gov/service/pnp/bbc/0100/0130/0139f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0100/0130/0139f_150px.jpg#h=150&w=83","//cdn.loc.gov/service/pnp/bbc/0100/0130/0139ft.gif#h=150&w=83","//cdn.loc.gov/service/pnp/bbc/0100/0130/0139fr.jpg#h=640&w=353","//cdn.loc.gov/service/pnp/bbc/0100/0130/0139fv.jpg#h=1024&w=565","http://www.loc.gov/pictures/collection/bbc/item/2007686473/","http://www.loc.gov/item/2007686473/","http://www.loc.gov/pictures/item/2007686473/","http://hdl.loc.gov/loc.pnp/bbc.0139f","http://www.loc.gov/resource/bbc.0139f/","http://lccn.loc.gov/2007686473","","","","","","","","","","",""
"False","photo, print, drawing","goodwin & co.","http://www.loc.gov/item/2007686474/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","pfeffer, fred (team member)","chicago white stockings","chicago","national league","second baseman","albumen prints","baseball cards","","","","","","","515","bbc","catalog","baseball-cards","","[Fred Pfeffer, Chicago White Stockings, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photographic print : albumen.","2016-05-17T21:39:04.294Z","pictures","catalog","2016-05-17T21:36:22.758Z","1887","","LOT 13163-05, no. 68 [P&P]","Old Judge (N172)","1887-01-01T00:00:00Z","english","https://www.loc.gov/item/2007686474/","False","//cdn.loc.gov/service/pnp/bbc/0100/0140/0140f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0100/0140/0140f_150px.jpg#h=150&w=87","//cdn.loc.gov/service/pnp/bbc/0100/0140/0140ft.gif#h=150&w=87","//cdn.loc.gov/service/pnp/bbc/0100/0140/0140fr.jpg#h=640&w=373","//cdn.loc.gov/service/pnp/bbc/0100/0140/0140fv.jpg#h=1024&w=596","http://www.loc.gov/pictures/collection/bbc/item/2007686474/","http://www.loc.gov/item/2007686474/","http://www.loc.gov/pictures/item/2007686474/","http://hdl.loc.gov/loc.pnp/bbc.0140f","http://www.loc.gov/resource/bbc.0140f/","http://lccn.loc.gov/2007686474","","","","","","","","","","",""
"False","photo, print, drawing","goodwin & co.","http://www.loc.gov/item/2007686475/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","pfeffer, fred (team member)","chicago white stockings","chicago","national league","second baseman","albumen prints","baseball cards","","","","","","","516","bbc","catalog","baseball-cards","","[Fred Pfeffer, Chicago White Stockings, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photographic print : albumen.","2016-05-17T21:39:04.294Z","pictures","catalog","2016-05-17T21:36:22.758Z","1887","","LOT 13163-05, no. 69 [P&P]","Old Judge (N172)","1887-01-01T00:00:00Z","english","https://www.loc.gov/item/2007686475/","False","//cdn.loc.gov/service/pnp/bbc/0100/0140/0141f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0100/0140/0141f_150px.jpg#h=150&w=82","//cdn.loc.gov/service/pnp/bbc/0100/0140/0141ft.gif#h=150&w=82","//cdn.loc.gov/service/pnp/bbc/0100/0140/0141fr.jpg#h=640&w=348","//cdn.loc.gov/service/pnp/bbc/0100/0140/0141fv.jpg#h=1024&w=557","http://www.loc.gov/pictures/collection/bbc/item/2007686475/","http://www.loc.gov/item/2007686475/","http://www.loc.gov/pictures/item/2007686475/","http://hdl.loc.gov/loc.pnp/bbc.0141f","http://www.loc.gov/resource/bbc.0141f/","http://lccn.loc.gov/2007686475","","","","","","","","","","",""
"False","photo, print, drawing","goodwin & co.","http://www.loc.gov/item/2007685747/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","johnston, dick (team member)","boston beaneaters","boston","national league","center fielder","albumen prints","baseball cards","","","","","","","517","bbc","catalog","baseball-cards","","[Dick Johnston, Boston Beaneaters, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photographic print : albumen.","2016-05-17T21:38:50.561Z","pictures","catalog","2016-05-17T21:36:22.123Z","1887","","LOT 13163-05, no. 7 [P&P]","Old Judge (N172)","1887-01-01T00:00:00Z","english","https://www.loc.gov/item/2007685747/","False","//cdn.loc.gov/service/pnp/bbc/0000/0070/0079f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0000/0070/0079f_150px.jpg#h=150&w=84","//cdn.loc.gov/service/pnp/bbc/0000/0070/0079ft.gif#h=150&w=84","//cdn.loc.gov/service/pnp/bbc/0000/0070/0079fr.jpg#h=640&w=360","//cdn.loc.gov/service/pnp/bbc/0000/0070/0079fv.jpg#h=1024&w=575","http://www.loc.gov/pictures/collection/bbc/item/2007685747/","http://www.loc.gov/item/2007685747/","http://www.loc.gov/pictures/item/2007685747/","http://hdl.loc.gov/loc.pnp/bbc.0079f","http://www.loc.gov/resource/bbc.0079f/","http://lccn.loc.gov/2007685747","","","","","","","","","","",""
"False","photo, print, drawing","goodwin & co.","http://www.loc.gov/item/2007686476/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","pfeffer, fred (team member)","chicago white stockings","chicago","national league","second baseman","albumen prints","baseball cards","","","","","","","518","bbc","catalog","baseball-cards","","[Fred Pfeffer, Chicago White Stockings, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photographic print : albumen.","2016-05-17T21:39:04.294Z","pictures","catalog","2016-05-17T21:36:22.758Z","1887","","LOT 13163-05, no. 70 [P&P]","Old Judge (N172)","1887-01-01T00:00:00Z","english","https://www.loc.gov/item/2007686476/","False","//cdn.loc.gov/service/pnp/bbc/0100/0140/0142f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0100/0140/0142f_150px.jpg#h=150&w=83","//cdn.loc.gov/service/pnp/bbc/0100/0140/0142ft.gif#h=150&w=83","//cdn.loc.gov/service/pnp/bbc/0100/0140/0142fr.jpg#h=640&w=355","//cdn.loc.gov/service/pnp/bbc/0100/0140/0142fv.jpg#h=1024&w=567","http://www.loc.gov/pictures/collection/bbc/item/2007686476/","http://www.loc.gov/item/2007686476/","http://www.loc.gov/pictures/item/2007686476/","http://hdl.loc.gov/loc.pnp/bbc.0142f","http://www.loc.gov/resource/bbc.0142f/","http://lccn.loc.gov/2007686476","","","","","","","","","","",""
"False","photo, print, drawing","goodwin & co.","http://www.loc.gov/item/2007686477/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","pfeffer, fred (team member)","chicago white stockings","chicago","national league","second baseman","albumen prints","baseball cards","","","","","","","519","bbc","catalog","baseball-cards","","[Fred Pfeffer, Chicago White Stockings, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photographic print : albumen.","2016-05-17T21:39:04.294Z","pictures","catalog","2016-05-17T21:36:22.758Z","1887","","LOT 13163-05, no. 71 [P&P]","Old Judge (N172)","1887-01-01T00:00:00Z","english","https://www.loc.gov/item/2007686477/","False","//cdn.loc.gov/service/pnp/bbc/0100/0140/0143f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0100/0140/0143f_150px.jpg#h=150&w=82","//cdn.loc.gov/service/pnp/bbc/0100/0140/0143ft.gif#h=150&w=82","//cdn.loc.gov/service/pnp/bbc/0100/0140/0143fr.jpg#h=640&w=348","//cdn.loc.gov/service/pnp/bbc/0100/0140/0143fv.jpg#h=1024&w=556","http://www.loc.gov/pictures/collection/bbc/item/2007686477/","http://www.loc.gov/item/2007686477/","http://www.loc.gov/pictures/item/2007686477/","http://hdl.loc.gov/loc.pnp/bbc.0143f","http://www.loc.gov/resource/bbc.0143f/","http://lccn.loc.gov/2007686477","","","","","","","","","","",""
