"access_restricted","original_format__-","contributor__-","id","partof__001","partof__002","partof__003","partof__004","partof__005","partof__006","subject__001","subject__002","subject__003","subject__004","subject__005","subject__006","subject__007","subject__008","subject__009","subject__010","subject__011","index","group__001","group__002","group__003","group__004","title","online_format__-","location__001","location__002","number_former_id__-","mime_type__001","mime_type__002","mime_type__003","mime_type__004","digitized","description__-","timestamp","site__001","site__002","extract_timestamp","date","number__-","shelf_id","other_title__-","dates__-","language__-","url","hassegments","image_url__001","image_url__002","image_url__003","image_url__004","image_url__005","aka__001","aka__002","aka__003","aka__004","aka__005","aka__006","aka__007","aka__008","aka__009","aka__010","aka__011","aka__012"
"False","photo, print, drawing","goodwin & co.","http://www.loc.gov/item/2007685646/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","wheelock, bobby (team member)","boston beaneaters","boston","national league","right fielder","albumen prints","baseball cards","","","","","251","bbc","catalog","baseball-cards","","[Bobby Wheelock, Boston Beaneaters, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photographic print : albumen.","2016-05-17T21:38:35.889Z","pictures","catalog","2016-05-17T21:36:21.436Z","1887","","LOT 13163-05, no. 26 [P&P]","Old Judge (N172)","1887-01-01T00:00:00Z","english","https://www.loc.gov/item/2007685646/","False","//cdn.loc.gov/service/pnp/bbc/0000/0090/0098f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0000/0090/0098f_150px.jpg#h=150&w=81","//cdn.loc.gov/service/pnp/bbc/0000/0090/0098ft.gif#h=150&w=81","//cdn.loc.gov/service/pnp/bbc/0000/0090/0098fr.jpg#h=640&w=344","//cdn.loc.gov/service/pnp/bbc/0000/0090/0098fv.jpg#h=1024&w=550","http://www.loc.gov/pictures/collection/bbc/item/2007685646/","http://www.loc.gov/item/2007685646/","http://www.loc.gov/pictures/item/2007685646/","http://hdl.loc.gov/loc.pnp/bbc.0098f","http://www.loc.gov/resource/bbc.0098f/","http://lccn.loc.gov/2007685646","","","","","",""
"False","photo, print, drawing","goodwin & co.","http://www.loc.gov/item/2007686911/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","tyng, jim (team member)","philadelphia quakers","philadelphia","national league","pitcher","albumen prints","baseball cards","","","","","252","bbc","catalog","baseball-cards","","[Tyng, Philadelphia Quakers, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photographic print : albumen.","2016-05-17T21:39:31.495Z","pictures","catalog","2016-05-17T21:36:24.088Z","1887","","LOT 13163-05, no. 260 [P&P]","Old Judge (N172)","1887-01-01T00:00:00Z","english","https://www.loc.gov/item/2007686911/","False","//cdn.loc.gov/service/pnp/bbc/0300/0330/0332f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0300/0330/0332f_150px.jpg#h=150&w=83","//cdn.loc.gov/service/pnp/bbc/0300/0330/0332ft.gif#h=150&w=83","//cdn.loc.gov/service/pnp/bbc/0300/0330/0332fr.jpg#h=640&w=354","//cdn.loc.gov/service/pnp/bbc/0300/0330/0332fv.jpg#h=1024&w=567","http://www.loc.gov/pictures/collection/bbc/item/2007686911/","http://www.loc.gov/item/2007686911/","http://www.loc.gov/pictures/item/2007686911/","http://hdl.loc.gov/loc.pnp/bbc.0332f","http://www.loc.gov/resource/bbc.0332f/","http://lccn.loc.gov/2007686911","","","","","",""
"False","photo, print, drawing","goodwin & co.","http://www.loc.gov/item/2007686912/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","wood, pete (team member)","philadelphia quakers","philadelphia","national league","pitcher","albumen prints","baseball cards","","","","","253","bbc","catalog","baseball-cards","","[Pete Wood, Philadelphia Quakers, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photographic print : albumen.","2016-05-17T21:39:31.495Z","pictures","catalog","2016-05-17T21:36:24.088Z","1887","","LOT 13163-05, no. 261 [P&P]","Old Judge (N172)","1887-01-01T00:00:00Z","english","https://www.loc.gov/item/2007686912/","False","//cdn.loc.gov/service/pnp/bbc/0300/0330/0333f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0300/0330/0333f_150px.jpg#h=150&w=78","//cdn.loc.gov/service/pnp/bbc/0300/0330/0333ft.gif#h=150&w=78","//cdn.loc.gov/service/pnp/bbc/0300/0330/0333fr.jpg#h=640&w=333","//cdn.loc.gov/service/pnp/bbc/0300/0330/0333fv.jpg#h=1024&w=532","http://www.loc.gov/pictures/collection/bbc/item/2007686912/","http://www.loc.gov/item/2007686912/","http://www.loc.gov/pictures/item/2007686912/","http://hdl.loc.gov/loc.pnp/bbc.0333f","http://www.loc.gov/resource/bbc.0333f/","http://lccn.loc.gov/2007686912","","","","","",""
"False","photo, print, drawing","goodwin & co.","http://www.loc.gov/item/2007686913/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","wood, george (team member)","philadelphia quakers","philadelphia","national league","left fielder","albumen prints","baseball cards","","","","","254","bbc","catalog","baseball-cards","","[George Wood, Philadelphia Quakers, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photographic print : albumen.","2016-05-17T21:39:31.495Z","pictures","catalog","2016-05-17T21:36:24.088Z","1887","","LOT 13163-05, no. 262 [P&P]","Old Judge (N172)","1887-01-01T00:00:00Z","english","https://www.loc.gov/item/2007686913/","False","//cdn.loc.gov/service/pnp/bbc/0300/0330/0334f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0300/0330/0334f_150px.jpg#h=150&w=85","//cdn.loc.gov/service/pnp/bbc/0300/0330/0334ft.gif#h=150&w=85","//cdn.loc.gov/service/pnp/bbc/0300/0330/0334fr.jpg#h=640&w=364","//cdn.loc.gov/service/pnp/bbc/0300/0330/0334fv.jpg#h=1024&w=582","http://www.loc.gov/pictures/collection/bbc/item/2007686913/","http://www.loc.gov/item/2007686913/","http://www.loc.gov/pictures/item/2007686913/","http://hdl.loc.gov/loc.pnp/bbc.0334f","http://www.loc.gov/resource/bbc.0334f/","http://lccn.loc.gov/2007686913","","","","","",""
"False","photo, print, drawing","goodwin & co.","http://www.loc.gov/item/2007686914/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","wood, george (team member)","philadelphia quakers","philadelphia","national league","left fielder","albumen prints","baseball cards","","","","","255","bbc","catalog","baseball-cards","","[George Wood, Philadelphia Quakers, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photographic print : albumen.","2016-05-17T21:39:31.495Z","pictures","catalog","2016-05-17T21:36:24.088Z","1887","","LOT 13163-05, no. 263 [P&P]","Old Judge (N172)","1887-01-01T00:00:00Z","english","https://www.loc.gov/item/2007686914/","False","//cdn.loc.gov/service/pnp/bbc/0300/0330/0335f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0300/0330/0335f_150px.jpg#h=150&w=86","//cdn.loc.gov/service/pnp/bbc/0300/0330/0335ft.gif#h=150&w=86","//cdn.loc.gov/service/pnp/bbc/0300/0330/0335fr.jpg#h=640&w=368","//cdn.loc.gov/service/pnp/bbc/0300/0330/0335fv.jpg#h=1024&w=589","http://www.loc.gov/pictures/collection/bbc/item/2007686914/","http://www.loc.gov/item/2007686914/","http://www.loc.gov/pictures/item/2007686914/","http://hdl.loc.gov/loc.pnp/bbc.0335f","http://www.loc.gov/resource/bbc.0335f/","http://lccn.loc.gov/2007686914","","","","","",""
"False","photo, print, drawing","goodwin & co.","http://www.loc.gov/item/2007686915/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","wright, harry (team member)","philadelphia quakers","philadelphia","national league","manager","albumen prints","baseball cards","","","","","256","bbc","catalog","baseball-cards","","[Harry Wright, Philadelphia Quakers, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photographic print : albumen.","2016-05-17T21:39:31.495Z","pictures","catalog","2016-05-17T21:36:24.088Z","1887","","LOT 13163-05, no. 264 [P&P]","Old Judge (N172)","1887-01-01T00:00:00Z","english","https://www.loc.gov/item/2007686915/","False","//cdn.loc.gov/service/pnp/bbc/0300/0330/0336f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0300/0330/0336f_150px.jpg#h=150&w=80","//cdn.loc.gov/service/pnp/bbc/0300/0330/0336ft.gif#h=150&w=80","//cdn.loc.gov/service/pnp/bbc/0300/0330/0336fr.jpg#h=640&w=343","//cdn.loc.gov/service/pnp/bbc/0300/0330/0336fv.jpg#h=1024&w=549","http://www.loc.gov/pictures/collection/bbc/item/2007686915/","http://hdl.loc.gov/loc.pnp/bbc.3g07528","http://www.loc.gov/item/2007686915/","http://www.loc.gov/pictures/item/2007686915/","http://hdl.loc.gov/loc.pnp/bbc.0336f","http://hdl.loc.gov/loc.pnp/bbc.3j00135","http://www.loc.gov/resource/bbc.0336f/","http://www.loc.gov/resource/cph.3g07528/","http://www.loc.gov/resource/cph.3j00135/","http://www.loc.gov/resource/bbc.3j00135/","http://lccn.loc.gov/2007686915","http://www.loc.gov/resource/bbc.3g07528/"
"False","photo, print, drawing","goodwin & co.","http://www.loc.gov/item/2007686916/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","beckley, jake (team member)","pittsburgh alleghenys","pittsburgh","national league","first baseman","albumen prints","baseball cards","","","","","257","bbc","catalog","baseball-cards","","[Jake Beckley, Pittsburgh Alleghenys, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photographic print : albumen.","2016-05-17T21:39:31.495Z","pictures","catalog","2016-05-17T21:36:24.088Z","1887","","LOT 13163-05, no. 265 [P&P]","Old Judge (N172)","1887-01-01T00:00:00Z","english","https://www.loc.gov/item/2007686916/","False","//cdn.loc.gov/service/pnp/bbc/0300/0330/0337f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0300/0330/0337f_150px.jpg#h=150&w=80","//cdn.loc.gov/service/pnp/bbc/0300/0330/0337ft.gif#h=150&w=80","//cdn.loc.gov/service/pnp/bbc/0300/0330/0337fr.jpg#h=640&w=343","//cdn.loc.gov/service/pnp/bbc/0300/0330/0337fv.jpg#h=1024&w=548","http://www.loc.gov/pictures/collection/bbc/item/2007686916/","http://www.loc.gov/item/2007686916/","http://www.loc.gov/pictures/item/2007686916/","http://hdl.loc.gov/loc.pnp/bbc.0337f","http://www.loc.gov/resource/bbc.0337f/","http://lccn.loc.gov/2007686916","","","","","",""
"False","photo, print, drawing","goodwin & co.","http://www.loc.gov/item/2007686917/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","beckley, jake (team member)","pittsburgh alleghenys","pittsburgh","national league","first baseman","albumen prints","baseball cards","","","","","258","bbc","catalog","baseball-cards","","[Jake Beckley, Pittsburgh Alleghenys, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photographic print : albumen.","2016-05-17T21:39:31.495Z","pictures","catalog","2016-05-17T21:36:24.088Z","1887","","LOT 13163-05, no. 266 [P&P]","Old Judge (N172)","1887-01-01T00:00:00Z","english","https://www.loc.gov/item/2007686917/","False","//cdn.loc.gov/service/pnp/bbc/0300/0330/0338f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0300/0330/0338f_150px.jpg#h=150&w=78","//cdn.loc.gov/service/pnp/bbc/0300/0330/0338ft.gif#h=150&w=78","//cdn.loc.gov/service/pnp/bbc/0300/0330/0338fr.jpg#h=640&w=331","//cdn.loc.gov/service/pnp/bbc/0300/0330/0338fv.jpg#h=1024&w=530","http://www.loc.gov/pictures/collection/bbc/item/2007686917/","http://www.loc.gov/item/2007686917/","http://www.loc.gov/pictures/item/2007686917/","http://hdl.loc.gov/loc.pnp/bbc.0338f","http://www.loc.gov/resource/bbc.0338f/","http://lccn.loc.gov/2007686917","","","","","",""
"False","photo, print, drawing","goodwin & co.","http://www.loc.gov/item/2007686918/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","bishop, bill (team member)","pittsburgh alleghenys","pittsburgh","national league","pitcher","albumen prints","baseball cards","","","","","259","bbc","catalog","baseball-cards","","[Bill Bishop, Pittsburgh Alleghenys, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photographic print : albumen.","2016-05-17T21:39:31.495Z","pictures","catalog","2016-05-17T21:36:24.088Z","1887","","LOT 13163-05, no. 267 [P&P]","Old Judge (N172)","1887-01-01T00:00:00Z","english","https://www.loc.gov/item/2007686918/","False","//cdn.loc.gov/service/pnp/bbc/0300/0330/0339f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0300/0330/0339f_150px.jpg#h=150&w=87","//cdn.loc.gov/service/pnp/bbc/0300/0330/0339ft.gif#h=150&w=87","//cdn.loc.gov/service/pnp/bbc/0300/0330/0339fr.jpg#h=640&w=373","//cdn.loc.gov/service/pnp/bbc/0300/0330/0339fv.jpg#h=1024&w=597","http://www.loc.gov/pictures/collection/bbc/item/2007686918/","http://www.loc.gov/item/2007686918/","http://www.loc.gov/pictures/item/2007686918/","http://hdl.loc.gov/loc.pnp/bbc.0339f","http://www.loc.gov/resource/bbc.0339f/","http://lccn.loc.gov/2007686918","","","","","",""
"False","photo, print, drawing","goodwin & co.","http://www.loc.gov/item/2007686919/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","bishop, bill (team member)","pittsburgh alleghenys","pittsburgh","national league","pitcher","albumen prints","baseball cards","","","","","260","bbc","catalog","baseball-cards","","[Bill Bishop, Pittsburgh Alleghenys, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photographic print : albumen.","2016-05-17T21:39:31.495Z","pictures","catalog","2016-05-17T21:36:24.088Z","1887","","LOT 13163-05, no. 268 [P&P]","Old Judge (N172)","1887-01-01T00:00:00Z","english","https://www.loc.gov/item/2007686919/","False","//cdn.loc.gov/service/pnp/bbc/0300/0340/0340f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0300/0340/0340f_150px.jpg#h=150&w=90","//cdn.loc.gov/service/pnp/bbc/0300/0340/0340ft.gif#h=150&w=90","//cdn.loc.gov/service/pnp/bbc/0300/0340/0340fr.jpg#h=640&w=383","//cdn.loc.gov/service/pnp/bbc/0300/0340/0340fv.jpg#h=1024&w=613","http://www.loc.gov/pictures/collection/bbc/item/2007686919/","http://www.loc.gov/item/2007686919/","http://www.loc.gov/pictures/item/2007686919/","http://hdl.loc.gov/loc.pnp/bbc.0340f","http://www.loc.gov/resource/bbc.0340f/","http://lccn.loc.gov/2007686919","","","","","",""
"False","photo, print, drawing","goodwin & co.","http://www.loc.gov/item/2007686920/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","bishop, bill (team member)","pittsburgh alleghenys","pittsburgh","national league","pitcher","albumen prints","baseball cards","","","","","261","bbc","catalog","baseball-cards","","[Bill Bishop, Pittsburgh Alleghenys, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photographic print : albumen.","2016-05-17T21:39:31.495Z","pictures","catalog","2016-05-17T21:36:24.088Z","1887","","LOT 13163-05, no. 269 [P&P]","Old Judge (N172)","1887-01-01T00:00:00Z","english","https://www.loc.gov/item/2007686920/","False","//cdn.loc.gov/service/pnp/bbc/0300/0340/0341f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0300/0340/0341f_150px.jpg#h=150&w=86","//cdn.loc.gov/service/pnp/bbc/0300/0340/0341ft.gif#h=150&w=86","//cdn.loc.gov/service/pnp/bbc/0300/0340/0341fr.jpg#h=640&w=368","//cdn.loc.gov/service/pnp/bbc/0300/0340/0341fv.jpg#h=1024&w=589","http://www.loc.gov/pictures/collection/bbc/item/2007686920/","http://www.loc.gov/item/2007686920/","http://www.loc.gov/pictures/item/2007686920/","http://hdl.loc.gov/loc.pnp/bbc.0341f","http://www.loc.gov/resource/bbc.0341f/","http://lccn.loc.gov/2007686920","","","","","",""
"False","photo, print, drawing","goodwin & co.","http://www.loc.gov/item/2007685647/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","wheelock, bobby (team member)","boston beaneaters","boston","national league","right fielder","albumen prints","baseball cards","","","","","262","bbc","catalog","baseball-cards","","[Bobby Wheelock, Boston Beaneaters, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photographic print : albumen.","2016-05-17T21:38:35.889Z","pictures","catalog","2016-05-17T21:36:21.436Z","1887","","LOT 13163-05, no. 27 [P&P]","Old Judge (N172)","1887-01-01T00:00:00Z","english","https://www.loc.gov/item/2007685647/","False","//cdn.loc.gov/service/pnp/bbc/0000/0090/0099f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0000/0090/0099f_150px.jpg#h=150&w=84","//cdn.loc.gov/service/pnp/bbc/0000/0090/0099ft.gif#h=150&w=84","//cdn.loc.gov/service/pnp/bbc/0000/0090/0099fr.jpg#h=640&w=358","//cdn.loc.gov/service/pnp/bbc/0000/0090/0099fv.jpg#h=1024&w=572","http://www.loc.gov/pictures/collection/bbc/item/2007685647/","http://www.loc.gov/item/2007685647/","http://www.loc.gov/pictures/item/2007685647/","http://hdl.loc.gov/loc.pnp/bbc.0099f","http://www.loc.gov/resource/bbc.0099f/","http://lccn.loc.gov/2007685647","","","","","",""
"False","photo, print, drawing","goodwin & co.","http://www.loc.gov/item/2007686921/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","brown, tom (team member)","pittsburgh alleghenys","pittsburgh","national league","center fielder","albumen prints","baseball cards","","","","","263","bbc","catalog","baseball-cards","","[Tom Brown, Pittsburgh Alleghenys, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photographic print : albumen.","2016-05-17T21:39:31.495Z","pictures","catalog","2016-05-17T21:36:24.088Z","1887","","LOT 13163-05, no. 270 [P&P]","Old Judge (N172)","1887-01-01T00:00:00Z","english","https://www.loc.gov/item/2007686921/","False","//cdn.loc.gov/service/pnp/bbc/0300/0340/0342f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0300/0340/0342f_150px.jpg#h=150&w=86","//cdn.loc.gov/service/pnp/bbc/0300/0340/0342ft.gif#h=150&w=86","//cdn.loc.gov/service/pnp/bbc/0300/0340/0342fr.jpg#h=640&w=368","//cdn.loc.gov/service/pnp/bbc/0300/0340/0342fv.jpg#h=1024&w=589","http://www.loc.gov/pictures/collection/bbc/item/2007686921/","http://www.loc.gov/item/2007686921/","http://www.loc.gov/pictures/item/2007686921/","http://hdl.loc.gov/loc.pnp/bbc.0342f","http://www.loc.gov/resource/bbc.0342f/","http://lccn.loc.gov/2007686921","","","","","",""
"False","photo, print, drawing","goodwin & co.","http://www.loc.gov/item/2007686922/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","coleman, john (team member)","pittsburgh alleghenys","pittsburgh","national league","right fielder","albumen prints","baseball cards","","","","","264","bbc","catalog","baseball-cards","","[John Coleman, Pittsburgh Alleghenys, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photographic print : albumen.","2016-05-17T21:39:31.495Z","pictures","catalog","2016-05-17T21:36:24.088Z","1887","","LOT 13163-05, no. 271 [P&P]","Old Judge (N172)","1887-01-01T00:00:00Z","english","https://www.loc.gov/item/2007686922/","False","//cdn.loc.gov/service/pnp/bbc/0300/0340/0343f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0300/0340/0343f_150px.jpg#h=150&w=84","//cdn.loc.gov/service/pnp/bbc/0300/0340/0343ft.gif#h=150&w=84","//cdn.loc.gov/service/pnp/bbc/0300/0340/0343fr.jpg#h=640&w=358","//cdn.loc.gov/service/pnp/bbc/0300/0340/0343fv.jpg#h=1024&w=573","http://www.loc.gov/pictures/collection/bbc/item/2007686922/","http://www.loc.gov/item/2007686922/","http://www.loc.gov/pictures/item/2007686922/","http://hdl.loc.gov/loc.pnp/bbc.0343f","http://www.loc.gov/resource/bbc.0343f/","http://lccn.loc.gov/2007686922","","","","","",""
"False","photo, print, drawing","goodwin & co.","http://www.loc.gov/item/2007686923/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","dalrymple, abner (team member)","pittsburgh alleghenys","pittsburgh","national league","left fielder","albumen prints","baseball cards","","","","","265","bbc","catalog","baseball-cards","","[Abner Dalrymple, Pittsburgh Alleghenys, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photographic print : albumen.","2016-05-17T21:39:31.495Z","pictures","catalog","2016-05-17T21:36:24.088Z","1887","","LOT 13163-05, no. 272 [P&P]","Old Judge (N172)","1887-01-01T00:00:00Z","english","https://www.loc.gov/item/2007686923/","False","//cdn.loc.gov/service/pnp/bbc/0300/0340/0344f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0300/0340/0344f_150px.jpg#h=150&w=85","//cdn.loc.gov/service/pnp/bbc/0300/0340/0344ft.gif#h=150&w=85","//cdn.loc.gov/service/pnp/bbc/0300/0340/0344fr.jpg#h=640&w=364","//cdn.loc.gov/service/pnp/bbc/0300/0340/0344fv.jpg#h=1024&w=583","http://www.loc.gov/pictures/collection/bbc/item/2007686923/","http://www.loc.gov/item/2007686923/","http://www.loc.gov/pictures/item/2007686923/","http://hdl.loc.gov/loc.pnp/bbc.0344f","http://www.loc.gov/resource/bbc.0344f/","http://lccn.loc.gov/2007686923","","","","","",""
"False","photo, print, drawing","goodwin & co.","http://www.loc.gov/item/2007686924/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","dalrymple, abner (team member)","pittsburgh alleghenys","pittsburgh","national league","left fielder","albumen prints","baseball cards","","","","","266","bbc","catalog","baseball-cards","","[Abner Dalrymple, Pittsburgh Alleghenys, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photographic print : albumen.","2016-05-17T21:39:31.495Z","pictures","catalog","2016-05-17T21:36:24.088Z","1887","","LOT 13163-05, no. 273 [P&P]","Old Judge (N172)","1887-01-01T00:00:00Z","english","https://www.loc.gov/item/2007686924/","False","//cdn.loc.gov/service/pnp/bbc/0300/0340/0345f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0300/0340/0345f_150px.jpg#h=150&w=85","//cdn.loc.gov/service/pnp/bbc/0300/0340/0345ft.gif#h=150&w=85","//cdn.loc.gov/service/pnp/bbc/0300/0340/0345fr.jpg#h=640&w=361","//cdn.loc.gov/service/pnp/bbc/0300/0340/0345fv.jpg#h=1024&w=577","http://www.loc.gov/pictures/collection/bbc/item/2007686924/","http://www.loc.gov/item/2007686924/","http://www.loc.gov/pictures/item/2007686924/","http://hdl.loc.gov/loc.pnp/bbc.0345f","http://www.loc.gov/resource/bbc.0345f/","http://lccn.loc.gov/2007686924","","","","","",""
"False","photo, print, drawing","goodwin & co.","http://www.loc.gov/item/2007686925/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","dalrymple, abner (team member)","pittsburgh alleghenys","pittsburgh","national league","left fielder","albumen prints","baseball cards","","","","","267","bbc","catalog","baseball-cards","","[Abner Dalrymple, Pittsburgh Alleghenys, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photographic print : albumen.","2016-05-17T21:39:31.495Z","pictures","catalog","2016-05-17T21:36:24.088Z","1887","","LOT 13163-05, no. 274 [P&P]","Old Judge (N172)","1887-01-01T00:00:00Z","english","https://www.loc.gov/item/2007686925/","False","//cdn.loc.gov/service/pnp/bbc/0300/0340/0346f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0300/0340/0346f_150px.jpg#h=150&w=84","//cdn.loc.gov/service/pnp/bbc/0300/0340/0346ft.gif#h=150&w=84","//cdn.loc.gov/service/pnp/bbc/0300/0340/0346fr.jpg#h=640&w=360","//cdn.loc.gov/service/pnp/bbc/0300/0340/0346fv.jpg#h=1024&w=576","http://www.loc.gov/pictures/collection/bbc/item/2007686925/","http://www.loc.gov/item/2007686925/","http://www.loc.gov/pictures/item/2007686925/","http://hdl.loc.gov/loc.pnp/bbc.0346f","http://www.loc.gov/resource/bbc.0346f/","http://lccn.loc.gov/2007686925","","","","","",""
"False","photo, print, drawing","goodwin & co.","http://www.loc.gov/item/2007686926/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","dalrymple, abner (team member)","pittsburgh alleghenys","pittsburgh","national league","left fielder","albumen prints","baseball cards","","","","","268","bbc","catalog","baseball-cards","","[Abner Dalrymple, Pittsburgh Alleghenys, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photographic print : albumen.","2016-05-17T21:39:31.495Z","pictures","catalog","2016-05-17T21:36:24.088Z","1887","","LOT 13163-05, no. 275 [P&P]","Old Judge (N172)","1887-01-01T00:00:00Z","english","https://www.loc.gov/item/2007686926/","False","//cdn.loc.gov/service/pnp/bbc/0300/0340/0347f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0300/0340/0347f_150px.jpg#h=150&w=81","//cdn.loc.gov/service/pnp/bbc/0300/0340/0347ft.gif#h=150&w=81","//cdn.loc.gov/service/pnp/bbc/0300/0340/0347fr.jpg#h=640&w=344","//cdn.loc.gov/service/pnp/bbc/0300/0340/0347fv.jpg#h=1024&w=550","http://www.loc.gov/pictures/collection/bbc/item/2007686926/","http://www.loc.gov/item/2007686926/","http://www.loc.gov/pictures/item/2007686926/","http://hdl.loc.gov/loc.pnp/bbc.0347f","http://www.loc.gov/resource/bbc.0347f/","http://lccn.loc.gov/2007686926","","","","","",""
"False","photo, print, drawing","goodwin & co.","http://www.loc.gov/item/2007686927/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","dunlap, fred (team member)","pittsburgh alleghenys","pittsburgh","national league","captain","second baseman","albumen prints","baseball cards","","","","269","bbc","catalog","baseball-cards","","[Fred Dunlap, Pittsburgh Alleghenys, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photographic print : albumen.","2016-05-17T21:39:31.495Z","pictures","catalog","2016-05-17T21:36:24.088Z","1887","","LOT 13163-05, no. 276 [P&P]","Old Judge (N172)","1887-01-01T00:00:00Z","english","https://www.loc.gov/item/2007686927/","False","//cdn.loc.gov/service/pnp/bbc/0300/0340/0348f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0300/0340/0348f_150px.jpg#h=150&w=83","//cdn.loc.gov/service/pnp/bbc/0300/0340/0348ft.gif#h=150&w=83","//cdn.loc.gov/service/pnp/bbc/0300/0340/0348fr.jpg#h=640&w=355","//cdn.loc.gov/service/pnp/bbc/0300/0340/0348fv.jpg#h=1024&w=567","http://www.loc.gov/pictures/collection/bbc/item/2007686927/","http://www.loc.gov/item/2007686927/","http://www.loc.gov/pictures/item/2007686927/","http://hdl.loc.gov/loc.pnp/bbc.0348f","http://www.loc.gov/resource/bbc.0348f/","http://lccn.loc.gov/2007686927","","","","","",""
